matched_brand,matched_brand_key,matched_company_candidate,top9_group,ownership_resolution_status,needs_manual_review_from_matrix,product_name,barcode,current_normalized_brand,current_brand_entity_raw,current_brand_entity_source,current_resolved_company,query_category,primary_country,observed_market_region_codes,image_url,off_brands_raw,match_rule,review_decision_blank,review_note_blank
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn snack,754918082022,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,https://images.openfoodfacts.org/images/products/075/491/808/2022/front_en.4.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, cookies & cream",855686007160,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, gingerbread caramel",858563004108,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, nori sesame",858563004054,happy day gourmet llc,happy day gourmet llc,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Happy Day Gourmet Llc,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, raspberry lemonade",855686007047,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, rosemary truffle",858563004009,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, thai coconut curry",858563004030,pop art,pop art,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Pop Art,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet popcorn, white pepper parmesan",858563004016,pop art,pop art,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Pop Art,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pretzel crunchers,681131176705,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pretzel crunchers,681131176712,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
