merge_action,normalized_brand,parent_company,ownership_resolution_status,category_scope,region_codes_include,review_product_count,review_decision,candidate_action
appended_new,lidl italiamo,Lidl,direct,snacks,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl italiamo,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl italiamo,Lidl,direct,dairies,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl italia,Lidl,direct,dairies,SOUTHERN_EUROPE|US_CANADA,1,map to Lidl,append_candidate
appended_new,lidl freeway,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl france snc,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl france,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,beverages,DACH|SOUTHERN_EUROPE|UK_IE,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,beverages,BENELUX|NORDICS|FRANCE|DACH,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,beverages,BENELUX|NORDICS|FRANCE,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,snacks,FRANCE,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,dairies,US_CANADA,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,dairies,FRANCE|UK_IE,1,map to Nestlé,append_candidate
appended_new,lidl stiftung and co kg,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl stiftung and co kg,Lidl,direct,dairies,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl stiftung and co kg,Lidl,direct,beverages,FRANCE|DACH,1,map to Lidl,append_candidate
appended_new,lidl stiftung and co kg,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl sondey,Lidl,direct,snacks,FRANCE|DACH,1,map to Lidl,append_candidate
appended_new,lidl solevita,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl snack day,Lidl,direct,snacks,FRANCE|DACH,1,map to Lidl,append_candidate
appended_new,lidl simply,Lidl,direct,dairies,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl saveurs de nos regions,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,1,map to Nestlé,append_candidate
appended_new,Mountain Dew,PepsiCo,direct,beverages,UK_IE,1,map to PepsiCo,append_candidate
appended_new,Mountain Dew,PepsiCo,direct,beverages,NORDICS|FRANCE|UK_IE,1,map to PepsiCo,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,DACH|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,DACH|BENELUX|NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,DACH|BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,BENELUX|US_CANADA|NORDICS|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,dairies,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,beverages,FRANCE|DACH|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lidl uk,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,Nescafé,Nestlé,direct,dairies,FRANCE|DACH,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,UK_IE|US_CANADA,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,SOUTHERN_EUROPE|US_CANADA,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,FRANCE|US_CANADA,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,beverages,FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,1,map to Nestlé,append_candidate
appended_new,Mountain Dew,PepsiCo,direct,beverages,BENELUX|FRANCE,1,map to PepsiCo,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,US_CANADA|FRANCE,1,approve proposed,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,NORDICS|UK_IE,1,approve proposed,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,FRANCE|BENELUX,1,approve proposed,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,DACH|NORDICS|UK_IE,1,approve proposed,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|DACH|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,FRANCE|SOUTHERN_EUROPE|NORDICS,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,FRANCE|SOUTHERN_EUROPE|DACH|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,FRANCE|BENELUX|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,DACH|US_CANADA,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,DACH|UK_IE,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,DACH|SOUTHERN_EUROPE|UK_IE,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,DACH|FRANCE,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,DACH|BENELUX|FRANCE,1,map to Nestlé,append_candidate
appended_new,Nescafé,Nestlé,direct,beverages,BENELUX|FRANCE|UK_IE,1,map to Nestlé,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,UK_IE|US_CANADA,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,FRANCE|NORDICS,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,FRANCE|DACH|SOUTHERN_EUROPE,1,map to PepsiCo,append_candidate
