brand_entity_raw,normalized_brand,brand_alias_source,brand_alias_review_status,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names,example_off_brands_raw
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE|DACH,cereals,5,Céréales Special K Kellogg's Nature | Star Wars | Céréales Miel Pops Cracks | Kellogs Protein nuts | choco krispies,Kellogg's | Kellogg's | Kellogg's | Kellogg's | Kellogg's
hershey's,Hershey’s,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,5,Hershey’s Kisses | Cookies and cream mini eggs | Cookies 'n' Creme Egg | Cookies ‘n’ Creme rounds | Cookies 'n' creme,Hershey’s | Hershey’s | HERSHEY'S | Hershey’s | Hershey's
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|DACH|UK_IE,cereals,4,Kellogg's Variety | Kellogg's Fruit'n fibre | W K Kellogg No Added Sugar Coconut Cashew & Almond Granola | Trésor goût cookies & cream,"Kellogg's | Kellogg's, Kellog‘s | Kellogg's | Kellogg's"
oscar mayer,Oscar Mayer,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,4,"Gummy bacon | Bacon Jerky, Bourbon Barbecue Seasoned | Bacon Jerky, Teriyaki Ginger Seasoned | Portable Protein Pack Turkey Dark Chocolate Nut Clusters Cheddar","Oscar Mayer, Frankford Candy | Oscar mayer | Oscar mayer | Oscar Mayer"
powerade,Powerade,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,beverages,4,Powerade Mountain Blast | Powerade Orange | Powerade Zero Sugar | Poudre Powerade,Powerade | Powerade | Powerade | Powerade
vitaminwater,Vitaminwater,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,beverages,4,"zero sugar lemonade squeezed | Glaceau, vitamin water zero go-go mixed berry | vitaminwater | vitamin water dragonfruit power-c",vitamin water | Vitaminwater | Vitamin Water | vitamin water
vitaminwater,Vitaminwater,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,beverages,4,VitaminWater | Vitaminwater Defence Himbeere Apfel | XXX - 3 baies | Citron / Cactus,VitaminWater | Vitaminwater | Vitaminwater | Vitaminwater
san pellegrino,San Pellegrino,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,beverages,4,k | Limonata Zero | San Pellegrino Aranciata | Blood orange light,San Pellegrino | San Pellegrino | San Pellegrino | San Pellegrino
ice breakers,Ice Breakers,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,4,ice breakers coolmint | Ice Breakers Mints | Ice Breakers Cinnamon disc | Ice Breakers Sours Lemonade,Ice Breakers | Ice Breakers | ice breakers | Ice Breakers
twizzlers,Twizzlers,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,4,Hershey's Twizzlers Candy Straws | Twizzlers Twists | Pull'n'peel candy | Twizzlers Bonbon à La Fraise,Twizzlers | Twizzlers | Twizzlers | Twizzlers
Lay's,Lay’s,curated_mechanical_brand_alias,confirmed,top9_portfolio_token_match,Belgium,BENELUX|FRANCE,snacks,4,Saveur Poulet Rôti | Super Chips Paprika | super chips salt 'n pepper flavor,"Lay's, Lays, PepsiCo | Lay's, Pepsico | Lay's, Pepsico | Lay's, Pepsico"
so delicious,So Delicious,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,4,Organic unsweetened vanilla coconut milk | Organic Coconut original | Organic Coconut Unsweetened Vanilla | Organic creamer coconutmilk,So Delicious | SO DELICIOUS | So Delicious | so delicious
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,cereals,4,Kellogg's Smacks With Sugar | Céréales Miel Pops | Extra peanut butter | Frosties,Kellogg's | Kellogg's | Kellogg's | Kellogg's
vital proteins,Vital Proteins,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,4,Collagen Sparkling Water | Collagen and protein shake | Collagen sparkling water | COLLAGEN PEPTIDES,Vital Proteins | Vital Proteins | Vital proteins | VITAL PROTEINS
herta,Herta,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,4,Cookies Choco - Noix de Pécan | Pâte à Cookies Choco caramel | Pâte à cookies pépites de chocolat | Pâte a brownies,Herta | Herta | HERTA | Herta
carte d or,Carte d'Or,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,4,Carte D'or Inspiration Buche Glacée Caramel Guimauve 8 Parts 750ml | Carte D'or Bûche Glacée Café Chocolat Vanille 1l | Carte d'or selection Tiramisu | Carte D'or Collection Buche Glacée Façon Crème Brûlée 9 parts 900ml,Carte d'Or | Carte D'or | Carte d'Or | Carte d'Or
Nescafé,Nescafé Dolce Gusto,curated_mechanical_brand_alias,confirmed,top9_portfolio_token_match,Belgium,BENELUX|FRANCE,beverages,4,Capsules NESCAFE DOLCE GUSTO Lungo Intenso 16 Capsules | The chaud dolce gusto | Capsules NESCAFE Dolce Gusto Lungo 30 Capsules | STARBUCKS by NESCAFE Dolce Gusto House Blend 12 capsules,"Nestlé, Nescafé, Nescafé Dolce Gusto, Dolce gusto | Nestlé, Dolce Gusto, Nescafé | Nestlé, Dolce gusto, Nescafe | Medium house blend, Nescafé, STARBUCKS, by NESCAFE DOLCE GUSTO"
hipro,HiPRO,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE,dairies,4,Hipro saveur vanille-cookie | HiPRO Saveur Coco | Yaourt a Boire Hipro Mangue | Hipro Mousse cacao,"HiPRO | Danone, Hipro | HiPRO | HiPRO, Danone"
coca cola,Coca-Cola,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,France,FRANCE|DACH|SOUTHERN_EUROPE,beverages,4,Energy | Coca-Cola Zero Zero | PET 1.25L COCA ZERO CT SICAFE | Coca-Cola limone,Coca Cola | Coca-Cola | Coca-Cola | Coca Cola
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE|UK_IE,cereals,4,Crunchy Nut | Rice Krispies | Corn Flakes | Rice Krispies,Kellogg's | Kellogg's | Kellogg's | Kellogg's
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Mexico,US_CANADA,snacks,4,"Pop tarts cookies | Toaster pastries, frosted brown sugar cinnamon | Pop Tars, Frosted Cherry | Protein meal bars, chocolate caramel",Kellogg's | Kellogg's | KELLOGG´S | Kellogg's
minute maid,Minute Maid,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,beverages,4,Néctar de naranja | Limon & nada | Duofrutas Tropical | Minute Maid Duo Tropical,Minute Maid | Minute Maid | Minute Maid | Minute Maid
coca cola,Coca-Cola,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,Canada,US_CANADA|FRANCE,beverages,4,Coca-Cola Zero | Coca-cola Classique | Diet Coke | Diet Coca-Cola,Coca-Cola | Coca-Cola | Coca-Cola | Coca Cola
marmite,Marmite,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,4,marmite crisps | Puffs Cheese & Marmite | Marmite flavour Ridge Crisps | marmite crisps,marmite | Marmite | Marmite | marmite
mcvitie's,McVitie's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Ireland,UK_IE,snacks,4,McVities Rich Tea Biscuits | Biscuit selection | Mcvities digestives | Jaffa cakes,"McVitie's | Mc Vities | McVities, McVitie's | McVitie's,McVities"
