normalized_brand,legacy_primary_brand,primary_brand,brand_entity_raw,brand_entity_source,brand_alias_source,brand_alias_review_status,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,proposed_mapping_source,proposed_review_note,proposed_matched_mapping_brand,company_mapping_would_change,normalized_brand_is_top9_portfolio,product_count,example_product_names,example_off_brands_raw
yoplait,calin,calin,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,19,"Fromage Blanc Battu au Lait Demi-écrémé | Fromage Frais Calin 20% M.G. | Calin Poire et Ananas | Yoplait Calin | Calin+ Fruits Pêche, Abricot, Fraise, Framboise)","Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin+, Yoplait"
yoplait,yop gf,yop gf,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,19,Dessert lacté au chocolat | Yop: Ananas Pêche Céréales | Yaourt à boire sucré aromatisé | Yop parfum coco | Yaourt à boire sucré aromatisé,"Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait"
wegmans food markets inc,wegmans food markets inc,wegmans,wegmans food markets inc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Wegmans,Other / not mapped to a company,unresolved,no_mapping_match,,,True,False,18,Chocolate Indulgence With Pecans Cookie | Dark Chocolate Covered Pretzels With Peppermint Candy | Sandwich Creme Cookies | Wholesum Bars | Whole sum bars,Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc.
arizona snack company,arizona snack company,arizona,arizona snack company,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Arizona Beverages,Other / not mapped to a company,unresolved,no_mapping_match,,,True,False,17,"Arizona snack company, caramel popcorn | Arizona snack company, peanut brittle | Arizona snack company, peanut clusters, chocolate | Arizona snack company, brite crawlers | Arizona snack company, gummi bears",Arizona Snack Company | Arizona Snack Company | Arizona Snack Company | Arizona Snack Company | Arizona Snack Company
chobani flip,chobani flip,chobani,chobani flip,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,United States,US_CANADA,Chobani,Other / not mapped to a company,unresolved,no_mapping_match,,,True,False,17,Peanut Butter Cup | S'more S'mores | Key Lime Crumble | Almond Coco Loco,Chobani flip | Chobani flip | Chobani flip | Chobani flip | Chobani flip
le rustique,cf and r,cf and r,le rustique,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Savencia,direct,company_brand_mapping.csv,Cheese brand,le rustique,True,False,17,Tomme fruitée | Le grand Rustique | le grand rustique | Le Rustique | Le Rustique Camembert 250g Offre éco,"CF&R, Le Rustique, Savencia | CF&R, Jean Verrier, Le Rustique, Savencia | CF&R, Le Rustique, Savencia, jean verrier | CF&R, Jean Verrier, Le Rustique, Savencia | CF&R, Le Rustique, Savencia"
lu,grany,grany,lu,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,snacks,France,FRANCE,Other / not mapped to a company,Mondelēz International,direct,company_brand_mapping.csv,Parent-company label normalized during Top 9 launch merge; brand routing unchanged.,lu,True,False,17,"Barre cereales chocolat | Barre de Céréales Pomme | Barre céréalière à la figue, aromatisée | Grany - Barre céréalière au chocolat | Grany 3x125gr pomme lot","Grany, LU | Grany, LU | Grany, Lu | Grany, Lu | Grany, LU"
u bio,u bio,u,u bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Manual review / complex ownership,Système U,direct,layer3_review_decision_20260824,Obvious Système U retailer/private-label brand line in France.,u bio,True,False,17,Petit-Beurre | Pains au lait nature | Biscuits épeautre et sésame | Pains au chocolat pur beurre | Pain aux raisins U bio,U Bio | U Bio | U bio | U Bio | U Bio
yoplait,yop ptit yop,yop ptit yop,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,17,Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé,"Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait"
KitKat,kit kat,kit kat,kitkat,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,snacks,United States,US_CANADA,Other / not mapped to a company,The Hershey Company,market_scoped,top_company_brand_portfolio_matrix.csv,Market-scoped routing from Top 9 matrix; review if product geography is missing or conflicting.,kitkat,True,True,15,"Breaking Bones | Sweet And Salty Snack Mix With Kit Kat Minis, Pretzels, Chocolate Wafer Bites, And Honey Roasted Almonds, Sweet And Salty | Kit Kat Miniatures Milk Chocolate Wafer Christmas Candy | Crisp Wafers In White Creme Bars, White Creme | Crisp Wafers In White Creme Miniatures, White",Kit Kat | KIT KAT | Kit Kat | KIT KAT | KIT KAT
casino bio,casino bio,casino,casino bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Manual review / complex ownership,Groupe Casino,direct,layer3_review_decision_20260824,Obvious Casino retailer/private-label brand line.,casino bio,True,False,15,Cookies aux pépites de chocolat noir | P'tits biscuits fourrage au lait | Cookies Noisettes & Chocolat | Boudoirs | BISCUIT Cranberries et spiruline,Casino Bio | CASINO BIO | Casino bio | Casino Bio | Casino Bio
kellogs,kellogs,kellogg's,kellogs,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,cereals,France,FRANCE,Mars,Other / not mapped to a company,unresolved,no_mapping_match,,,True,False,15,Special K Nature format maxi 750 g | Kelloggs special K | Coco Pops Crock'n Roll | Tresor | Kelloggs All Bran Regular 500G Kelloggs,Kellog's | kellogs | KELLOG'S | KELLOG'S | kellogs
Nescafé,farmers origins,farmers origins,nescafe,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,beverages,France,FRANCE,Other / not mapped to a company,Nestlé,direct,top_company_brand_portfolio_matrix.csv,Wholly Owned; Official Nestlé A-Z brand list; Exception source brand label: Nescafe,nescafe,True,True,14,Capsules India espresso | NESCAFE Farmers Origins Colombia x20 | NESCAFE Farmers Origins India x20 | NESCAFÉ Farmers Origins africas x20 | NESCAFÉ Farmers Origins Brazil Nespresso x20,"Farmers origins, India, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe"
