review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,aucune,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Sucette ronde spirale tutti frutti | Bandeaux Citriques Fraise Tubo De 300 Grs,aucune | Aucune
,,aude,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,vin rosé | Aude,aude | Aude
,,auga,cereals,Czech Republic,SOUTHERN_EUROPE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Oat Flakes | Instant Oat Flakes,Auga | Auga
,,aunt gussies cookies and crackers,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Aunt Gussie's, Cookies, Pecan Meltaways | Aunt Gussie's, Cookies With Almonds, Chocolate Chip",Aunt Gussie's Cookies & Crackers | Aunt Gussie's Cookies & Crackers
,,aunt jemima,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Muffins Aunt Mabel's double chocolat 100g | Muffin myrtille,Aunt jemima | Aunt jemima
,,aunt mabels,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Aunt Mabel's Milk Chocolate Muffins | Muffin Caramel,Aunt Mabel's | Aunt Mabel's
,,aura bora,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Lavender Cucumber | Herbal Sparkling Water - Lime Cardamom,Aura Bora | Aura Bora
,,aurian,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pastis de l'océan | Pipi de marmotte,Aurian | Aurian
,,aurora,cereals,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Choconut Vanilla Crunch Granola | Aurora natural granola brown sugar crunch,Aurora | Aurora
,,autrement,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Autrement | Autrement,"Autrement, Gérard Bertrand | Autrement, Gérard Bertrand"
