parent_company_source,official_brand_name,canonical_brand,brand_key,default_assigned_company,default_relationship_type,regional_exception_flag,exception_region_code,exception_region_name,exception_assigned_company,exception_relationship_type,ownership_resolution_status,market_scope,category_scope,source_1_nestle_official_brand_list,source_2_regional_exception_matrix,notes
Nestlé,Garoto,Garoto,garoto,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Gerber,Gerber,gerber,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Gourmet,Gourmet,gourmet,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Häagen-Dazs,Häagen-Dazs,haagen-dazs,Nestlé,Official Nestlé brand,yes,US,United States,Froneri (Nestlé JV),Joint Venture (Licensed),market_scoped,US,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Häagen-Dazs US to Froneri
Nestlé,Häagen-Dazs,Häagen-Dazs,haagen-dazs,Nestlé,Official Nestlé brand,yes,CA,Canada,Froneri (Nestlé JV),Joint Venture (Licensed),market_scoped,Canada,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Häagen-Dazs Canada to Froneri
Nestlé,Häagen-Dazs,Häagen-Dazs,haagen-dazs,Nestlé,Official Nestlé brand,yes,ROW,Rest of World,General Mills,Trademark / regional owner,market_scoped,Rest of World,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Häagen-Dazs ROW to General Mills
Nestlé,HENNIEZ,HENNIEZ,henniez,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Hépar,Hépar,hepar,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Hot Pockets,Hot Pockets,hot pockets,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Hsu Fu Chi,Hsu Fu Chi,hsu fu chi,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Impact,Impact,impact,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,KitKat,KitKat,kitkat,Nestlé,Official Nestlé brand,yes,US,United States,The Hershey Company,Licensed Perpetual,market_scoped,US,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns KitKat US to Hershey
Nestlé,KitKat,KitKat,kitkat,Nestlé,Official Nestlé brand,yes,ROW,Rest of World,Nestlé,Wholly Owned,market_scoped,Rest of World,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns KitKat ROW to Nestlé
Nestlé,KitKat Cereal,KitKat Cereal,kitkat cereal,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,KitKat Professional,KitKat Professional,kitkat professional,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Koko Krunch,Koko Krunch,koko krunch,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,La Lechera,La Lechera,la lechera,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,La Vie,La Vie,la vie,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Lean Cuisine,Lean Cuisine,lean cuisine,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Levissima,Levissima,levissima,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Life Cuisine,Life Cuisine,life cuisine,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Lily's Kitchen,Lily's Kitchen,lily's kitchen,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Lion Cereals,Lion Cereals,lion cereals,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Lion Cereal to CPW
Nestlé,Maggi,Maggi,maggi,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Maggi Professional,Maggi Professional,maggi professional,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Materna,Materna,materna,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
