barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason,macro_sum_off_raw
11110401014,Whole Milk,kroger,kroger,dairies,"Dairies, Milks",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/040/1014/front_en.45.400.jpg,66.0,66.0,3.53,3.53,5.0,,5.29,5.29,12.0,,,,3.53,3.53,0.2625,0.2625,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates|saturated_fat_greater_than_fat,12.35
11110587169,Smoke Flavored Provolone Cheese Slices,kroger,kroger,dairies,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Provolone,cheese",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/058/7169/front_en.19.400.jpg,333.333333333333,333.333333333333,28.5714285714286,28.5714285714286,16.6666666666667,16.6666666666667,0.0,0.0,,,,,23.8095238095238,23.8095238095238,2142.85714285714,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,52.3809523809524
11110893055,Butter Unsalted,kroger,kroger,dairies,"Butter, Dairy",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/089/3055/front_en.19.400.jpg,714.285714285714,714.285714285714,78.5714285714286,78.5714285714286,50.0,50.0,0.0,0.0,2.70075,,1.35525,1.35525,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,78.5714285714286
11150505901,"Roundy's, greek nonfat yogurt, black cherry",roundy's,roundy's,dairies,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",en:united-states,US_CANADA,,67.0,67.0,0.0,0.0,0.059126,,9.33,9.33,8.67,8.67,0.7,0.7,8.0,8.0,0.1175,0.1175,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,17.33
11732007960,Abernethy Biscuits,simmers,simmers,snacks,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/001/173/200/7960/front_en.7.400.jpg,775.0,775.0,35.0,35.0,12.5,12.5,102.5,,32.5,32.5,6.25634,6.25634,10.0,10.0,1.625,1.625,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,147.5
12000002335,Mtn Dew Soda 2 Liter Plastic Bottle,mtn dew,mtn dew,beverages,"Beverages and beverages preparations, Beverages, Non-alcoholic beverages",en:united-states,US_CANADA,,48.0,48.0,0.0,0.0,,,12.0,12.0,12.80556,,,,0.0,0.0,0.0425,0.0425,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,12.0
12000002489,Pepsi,,unknown,beverages,"Boissons, Boissons gazeuses, Sodas, Sodas au cola, Boissons avec sucre ajouté",en:france|en:qatar,FRANCE,https://images.openfoodfacts.org/images/products/001/200/000/2489/front_en.33.400.jpg,27.0,27.0,0.0,0.0,0.0,0.0,7.0,7.0,11.0,,0.0,0.0,0.0,0.0,0.025,0.025,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,7.0
12000030673,Pepsi-Cola Soda Shop,pepsi-cola,pepsi-cola,beverages,"Beverages and beverages preparations, Beverages, Sweetened beverages, en:colas",en:france,FRANCE,https://images.openfoodfacts.org/images/products/001/200/003/0673/front_en.19.400.jpg,42.2675706291105,42.2675706291105,0.0,0.0,0.0,0.0,3.17503000997515,3.17503000997515,11.2713521677628,,0.0,0.0,0.0,0.0,0.0211337853145553,0.0211337853145553,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,3.17503000997515
13130006125,Cream of Wheat Original,cream of wheat,cream of wheat,cereals,Plain porridge,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/313/000/6125/front_en.82.400.jpg,666.666666666667,666.666666666667,0.0,0.0,0.0,0.0,121.212121212121,,45.4545454545455,45.4545454545455,3.03030303030303,3.03030303030303,42.4242424242424,42.4242424242424,1.74242424242424,1.74242424242424,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,163.6363636363634
13130060530,Cream of Wheat Instant Maple Brown Sugar,cream of wheat,cream of wheat,cereals,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Porridge",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/313/006/0530/front_en.44.400.jpg,485.714285714286,485.714285714286,0.0,,0.0,0.0,100.0,,54.2857142857143,54.2857142857143,2.85714285714286,2.85714285714286,17.1428571428571,,1357.14285714286,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g|macros_exceed_100g,117.1428571428571
13499900379,Fresh Goat Cheese,schnucks,schnucks,dairies,Goat cheeses,en:united-states,US_CANADA,,943.964285714286,,76.5357142857143,,51.0357142857143,51.0357142857143,12.75,,0.0,0.0,0.0,0.0,51.0357142857143,,0.0036696428571428,0.0036696428571428,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|macros_exceed_100g,140.3214285714286
14100096559,Goldfish crackers,pepperidge farms,pepperidge farms,snacks,"Snacks,Snacks salés,Snacks sucrés,Amuse-gueules,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits apéritifs",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/410/009/6559/front_en.25.400.jpg,466.666666666667,466.666666666667,16.6666666666667,,3.33333333333333,3.33333333333333,100.0,,0.0,0.0,3.33333333333333,3.33333333333333,6.66666666666667,,2.08333333333333,2.08333333333333,data_quality_error,data_quality_error,False,False,False,macros_exceed_100g,123.33333333333337
15000045203,puffs strawberry apple,gerber,gerber,cereals,en:breakfast-cereals,en:united-states|en:vietnam|en:world,US_CANADA,https://images.openfoodfacts.org/images/products/001/500/004/5203/front_en.62.400.jpg,357.142857142857,357.142857142857,0.0,0.0,0.0,0.0,1224.48979591837,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,1224.48979591837
15700177013,Egg nog,meadow gold,meadow gold,dairies,en:milks,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/570/017/7013/front_en.3.400.jpg,170.0,170.0,0.0,0.0,5.0,,19.0,19.0,15.0,15.0,0.0,0.0,0.0,0.0,0.2625,0.2625,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,19.0
16000185173,Strawberry Banana Cheerios,cheerios,cheerios,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/018/5173/front_en.27.400.jpg,1022.64426588751,,18.2615047479912,18.2615047479912,0.0,0.0,219.138056975895,,80.3506208911614,80.3506208911614,21.9138056975895,21.9138056975895,21.9138056975895,21.9138056975895,2.92184075967859,2.92184075967859,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,259.31336742147573
16000214897,Chex Mix Bold Garlic & Herb Snack Mix,chex,chex,snacks,en:appetizers,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/021/4897/front_en.16.400.jpg,441.176470588235,441.176470588235,13.7931034482759,,5.17241379310345,5.17241379310345,86.2068965517241,,10.3448275862069,10.3448275862069,3.44827586206897,3.44827586206897,10.3448275862069,,1.89655172413793,1.89655172413793,data_quality_error,data_quality_error,False,False,False,macros_exceed_100g,110.3448275862069
16000227835,Bluey Cereal,general mills,general mills,cereals,en:breakfast-cereals,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/022/7835/front_en.11.400.jpg,937.5,,6.25,6.25,0.0,0.0,212.5,,25.0,25.0,18.75,18.75,18.75,18.75,2.8125,2.8125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,237.5
16229914578,Coconut Water,foco,foco,beverages,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Coconut waters,Sports-hydration,Unsweetened-fruit-juice,shelf stable natural fruit juices",en:canada|en:france|en:united-states|en:world,US_CANADA|FRANCE,https://images.openfoodfacts.org/images/products/001/622/991/4578/front_en.79.400.jpg,21.3333333333333,21.3333333333333,0.0,0.0,0.005,,5.33333333333333,5.33333333333333,5.06666666666667,5.06666666666667,0.25,0.25,0.106666666666667,0.106666666666667,0.0533333333333333,0.0533333333333333,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,5.439999999999998
16300168258,Ruby Red Grapefruit Juice,florida's natural,florida's natural,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Squeezed juices, en:grapefruit-juices",en:france|en:united-states|en:world,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/001/630/016/8258/front_en.18.400.jpg,41.6666666666667,41.6666666666667,0.0,0.0,0.005,,10.0,10.0,9.16666666666667,9.16666666666667,0.0,0.0,0.416666666666667,0.416666666666667,0.0104166666666667,0.0104166666666667,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,10.416666666666668
18627116295,Apple Cinnamon Loops,kashi,kashi,cereals,Cereal,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/862/711/6295/front_en.3.400.jpg,342.105263157895,342.105263157895,3.94736842105263,3.94736842105263,0.0,0.0,,,23.6842105263158,23.6842105263158,10.5263157894737,10.5263157894737,7.89473684210526,7.89473684210526,1052.63157894737,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,
19000082244,"Fruit variety hard candy, watermelon, pineapple, mango melon, wild cherry, fruit punch, green apple, grape, tangerine, strawberry, raspberry",lifesavers,lifesavers,snacks,"Snacks, Sweet snacks, Confectioneries",en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/001/900/008/2244/front_en.4.400.jpg,400.0,400.0,0.0,0.0,2.0,,100.0,100.0,80.0,80.0,,,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,100.0
20685000256,Kettle Cooked Waffle Cut Potato Chips,cape cod,cape cod,snacks,"Undefined, en:potato-crisps",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/068/500/0256/front_fr.3.400.jpg,1801.51325420201,,88.1849768073511,88.1849768073511,6.31404433940634,6.31404433940634,226.776486357784,,0.0,0.0,12.6986366602586,12.6986366602586,25.1856293761795,25.1856293761795,0.0034656695885289,0.0034656695885289,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,340.1470925413146
20685002892,Original Kettle Cooked Potato Chips,cape cod,cape cod,snacks,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps",en:united-states|en:world,US_CANADA,https://images.openfoodfacts.org/images/products/002/068/500/2892/front_en.22.400.jpg,500.0,500.0,102.040816326531,,6.37755102040818,6.37755102040818,204.081632653061,,0.0,0.0,12.7551020408163,12.7551020408163,25.5102040816327,25.5102040816327,1.91326530612245,1.91326530612245,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,331.6326530612247
208000,fat free NATURAL COTTAGE CHEESE,sainsbury's,sainsbury's,dairies,"Dairies, Fermented foods, Fermented milk products, Cheeses, Fresh cheeses, en:cottage-cheeses",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/020/8000/front_en.30.400.jpg,61.0,61.0,0.1,0.1,18.172245,,3.8,3.8,3.8,3.8,0.0,0.0,10.8,10.8,0.305,0.305,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,14.700000000000001
21908240329,Peanut Butter Chocolate Chip (mini),larabar,larabar,snacks,"Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Energy bars",en:united-states|en:world,US_CANADA,https://images.openfoodfacts.org/images/products/002/190/824/0329/front_en.26.400.jpg,500.0,500.0,123.96694214876,,41.3223140495868,41.3223140495868,227.272727272727,,165.289256198347,,41.3223140495868,41.3223140495868,61.98347107438,61.98347107438,1.80785123966942,1.80785123966942,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,413.22314049586697
23896576909,Premium Popcorn Movie Theater Butter,pop-secret,pop-secret,snacks,Snacks,en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/002/389/657/6909/front_en.12.400.jpg,8666.66666666667,,533.333333333333,,266.666666666667,,800.0,,0.0,0.0,133.333333333333,,133.333333333333,,45.0,45.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,1466.666666666666
23923330146,Organic fruit yogurt smoothie,earth's best,earth's best,dairies,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",en:united-states,US_CANADA,,75.0,75.0,0.42,0.42,0.5,,18.33,18.33,13.33,13.33,1.7,1.7,0.83,0.83,0.02,0.02,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,19.58
24100940295,White cheddar baked snack crackers,cheez-it,cheez-it,snacks,"snacks, salty-snacks, sweet-snacks, appetizers, biscuits-and-cakes, biscuits, da:crackers",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/410/094/0295/front_en.51.400.jpg,517.241379310345,517.241379310345,83.2342413793103,83.2342413793103,17.8358965517241,17.8358965517241,214.030931034483,,0.0,0.0,11.8906206896552,11.8906206896552,35.6718275862069,35.6718275862069,5.94531034482759,5.94531034482759,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,332.93700000000024
24300090073,Heartland Granola,,unknown,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Mueslis",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/430/009/0073/front_en.3.400.jpg,200.0,200.0,3.0,3.0,5.0,,40.0,40.0,14.0,14.0,3.0,3.0,4.0,4.0,,,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,47.0
25000051753,Simply Grapefruit,simply beverages,simply beverages,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages",en:united-states|en:world,US_CANADA,https://images.openfoodfacts.org/images/products/002/500/005/1753/front_en.5.400.jpg,41.6666666666667,41.6666666666667,0.0,0.0,0.005,,10.4166666666667,10.4166666666667,8.75,8.75,0.8,0.8,0.416666666666667,0.416666666666667,0.01,0.01,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,10.833333333333368
25000136825,100% Orange Juice,simply orange,simply,beverages,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Orange juices, en:squeezed-orange-juices",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/500/013/6825/front_en.38.400.jpg,46.4943276920216,46.4943276920216,0.0,0.0,0.053,,10.9895683635687,10.9895683635687,9.72154124469542,9.72154124469542,0.28,0.28,0.84535141258221,0.84535141258221,0.0,0.0,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,11.83491977615091
26315021400,Calveley Mill Mature Cheddar,calveley mill,calveley mill,dairies,Mature cheddar,en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/002/631/502/1400/front_en.3.400.jpg,410.0,410.0,34.4,34.4,21.7,21.7,0.1,0.1,0.1,0.1,,,25.0,25.0,1067.0,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,59.5
27800063943,Coconut Dreams,keebler,keebler,snacks,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Drop cookies,Chocolate chip cookies,Cookies with chocolate and coconut",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/780/006/3943/front_en.17.400.jpg,700.0,700.0,102.040816326531,,76.5306122448979,76.5306122448979,216.836734693878,,127.551020408163,,0.0,0.0,12.7551020408163,12.7551020408163,1.75382653061224,1.75382653061224,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,331.63265306122526
28000216283,Nido Kinder 1+,nestlé,nestle,beverages,"De, en:dehydrated-beverages",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/800/021/6283/front_en.5.400.jpg,470.588235294118,470.588235294118,17.6470588235294,17.6470588235294,5.88235294117647,5.88235294117647,64.7058823529412,64.7058823529412,50.0,50.0,0.0,0.0,14.7058823529412,14.7058823529412,919.117647058824,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,97.0588235294118
28000361204,Nesquik Chocolate Powder,"nestlé,nesquik",nestle,beverages,"Beverages and beverages preparations,Beverages,Cocoa and its products,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Chocolate-powders,Sweetened beverages",en:bolivia|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/800/036/1204/front_en.19.400.jpg,1000.0,,3.57142857142857,3.57142857142857,0.0,0.0,171.428571428571,,164.285714285714,,7.14285714285714,7.14285714285714,57.1428571428571,57.1428571428571,2.32142857142857,2.32142857142857,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,232.14285714285668
28400314015,White Cheddar,smartfood,smartfood,snacks,"Snacks, en:popcorn",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/002/840/031/4015/front_en.55.400.jpg,100.0,100.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,312.5,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,
30000567661,Life original multigrain cereal,quaker,quaker,cereals,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/000/056/7661/front_en.6.400.jpg,500.0,500.0,6.25,6.25,0.0,0.0,103.125,,25.0,25.0,19.375,19.375,12.5,12.5,1.64062492549419,1.64062492549419,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,121.875
30000569856,lower sugar Oatmeal variety pack,"quaker oats, quaker",quaker,cereals,oatmeal,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/000/056/9856/front_en.3.400.jpg,120.0,120.0,2.0,2.0,0.5,0.5,24.0,24.0,4.0,4.0,,,4.0,4.0,575.0,,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,30.0
30100127031,Cracker Collection,kellogg's,kellogg's,snacks,en:biscuits,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/010/012/7031/front_en.18.400.jpg,500.0,500.0,12.5,,3.125,3.125,87.5,,6.25,6.25,0.0,0.0,12.5,,1.5625,1.5625,data_quality_error,data_quality_error,False,False,False,macros_exceed_100g,112.5
30100472414,Club & cheddar Sandwich Crackers Cheddar,kellogg's,kellogg's,snacks,"Snacks, Sweet snacks, Biscuits and cakes",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/010/047/2414/front_en.11.400.jpg,487.179487179487,487.179487179487,59.1715976331362,59.1715976331362,16.4365548980934,16.4365548980934,157.790927021696,,32.8731097961867,32.8731097961867,6.57462195923733,6.57462195923733,19.723865877712,19.723865877712,5.09533201840895,5.09533201840895,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,236.6863905325442
31142358995,Parmesan,belgioioso,belgioioso,dairies,"Undefined, en:cheeses",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/114/235/8995/front_en.15.400.jpg,400.0,400.0,400.0,,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,800.0,,45.0,45.0,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,1200.0
31142359008,Parmesan Freshly Grated,belgioioso,belgioioso,dairies,"Undefined, en:cheeses",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/114/235/9008/front_en.15.400.jpg,333.333333333333,333.333333333333,400.0,,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,800.0,,0.045,0.045,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,1200.0
31200022882,MANGO CRAN SNACK MEDLEY,ocean spray,ocean spray,snacks,"Snacks, Sweet snacks, Confectioneries",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/120/002/2882/front_en.3.400.jpg,321.428571428572,321.428571428572,0.0,0.0,0.0083083333333333,,85.7142857142857,85.7142857142857,71.4285714285714,71.4285714285714,3.57142857142857,3.57142857142857,0.0,0.0,0.223214285714286,0.223214285714286,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,85.7142857142857
31200023773,Original cranberry cocktail,ocean spray,ocean spray,beverages,"Beverages, en:fruit-juices",en:canada|en:france,US_CANADA|FRANCE,https://images.openfoodfacts.org/images/products/003/120/002/3773/front_en.15.400.jpg,44.0,44.0,0.0,0.0,0.00245,,12.0,12.0,10.8,10.8,0.0,0.0,0.0,0.0,0.01,0.01,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,12.0
34000140060,Reeses - Fast Break super king,reese,reese,snacks,"Candy,Candy chocolate bars,Reese’s",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/400/014/0060/front_en.3.400.jpg,600.0,600.0,28.0,,10.0,10.0,84.0,,72.0,72.0,4.0,4.0,8.0,,0.9,0.9,data_quality_error,data_quality_error,False,False,False,macros_exceed_100g,120.0
34000190669,milk chocolate,hershey's,hershey's,snacks,de:aromatisierte-dunkle-schokolade,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/003/400/019/0669/front_en.29.400.jpg,500.0,500.0,118.343195266272,,66.5680473372781,66.5680473372781,236.686390532544,,221.89349112426,,14.792899408284,14.792899408284,29.585798816568,29.585798816568,0.7396449704142,0.7396449704142,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,384.615384615384
