barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason,calculated_energy_kcal_from_macros_off_raw,energy_difference_abs_off_raw,energy_difference_pct_off_raw
4500046865,Fruit & Nut Dark Chocolate,sainsbury's,sainsbury's,snacks,en:dark-chocolates,en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/450/004/6865/front_en.3.400.jpg,231.9425,,45.812,,0.4903,0.4903,40.862459375,40.862459375,39.8598,39.8598,1.845,1.845,2.894546875,2.894546875,0.009173875,0.009173875,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,587.3360250000001,355.39352500000007,153.2248402082413
74034,Chocolat noisettes,cofféa,coffea,snacks,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats au lait,Chocolats aux noisettes,Chocolats au lait aux noisettes",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/000/007/4034/front_fr.4.400.jpg,255.6925,,41.451,,1.27125,1.27125,52.53015,52.53015,52.43975,52.43975,0.464,0.464,2.2885,2.2885,0.059202,0.059202,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,592.3336,336.64110000000005,131.65857426400856
9542461867,Dubai Style Chocolate,lindt,lindt,snacks,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Chocolates stuffed with pistachio paste",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/954/246/1867/front_en.47.400.jpg,533.333333333333,,11.0,11.0,6.0,6.0,15.0,15.0,12.0,12.0,0.0,0.0,3.0,3.0,0.0875,0.0875,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,171.0,362.33333333333303,67.93749999999999
9800000555,Kinder bueno Crispy Creamy Chocolate Bar,kinder,kinder,snacks,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, en:chocolate-nuts-cookie-bars",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/000/0555/front_en.39.400.jpg,571.428571428571,,19.047619047619,19.047619047619,9.52380952380952,9.52380952380952,26.1904761904762,26.1904761904762,21.4285714285714,21.4285714285714,0.0,0.0,4.76190476190476,4.76190476190476,0.566893424036281,0.566893424036281,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,295.23809523809484,276.19047619047615,48.333333333333364
9800512041,Kinder Chocolate,kinder,kinder,snacks,"Kinder chocolate, en:chocolate-candies",en:mexico|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/051/2041/front_en.11.400.jpg,560.0,,9.0,9.0,6.0,6.0,13.0,13.0,13.0,13.0,0.0,0.0,2.0,2.0,0.075,0.075,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,141.0,419.0,74.82142857142857
9800560202,Kinderini Cookies,kinder,kinder,snacks,en:cookies,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/056/0202/front_en.18.400.jpg,480.0,,96.0,,48.0,48.0,272.0,,112.0,,16.0,16.0,32.0,32.0,1.4,1.4,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g|nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,2080.0,1600.0,333.33333333333337
9800820061,Crispy wafer filled with Nutella hazelnut spread with cocoa,nutella,nutella,snacks,"Snacks, Sweet snacks, Confectioneries, Festive foods, Christmas foods and drinks, Christmas sweets, Almond creme filled wafers, en:chocolate-candies",en:puerto-rico|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/082/0061/front_fr.3.400.jpg,500.0,,6.0,6.0,2.0,2.0,15.0,15.0,10.0,10.0,1.0,1.0,2.0,2.0,0.125,0.125,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,122.0,378.0,75.6
9899364996,,,unknown,cereals,Rolled oats,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/989/936/4996/front_en.3.400.jpg,170.0,,3.0,3.0,0.5,0.5,57.9,,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,282.6,112.60000000000002,66.23529411764707
99202,Yogurt coated rice cakes,m&s,m&s,snacks,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/009/9202/front_fr.4.400.jpg,165.0,,19.8,19.8,15.7,15.7,70.8,,31.7,31.7,0.6,0.6,5.4,5.4,0.08,0.08,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,483.0,318.0,192.72727272727272
10700702807,"ZERO SUGAR ORIGINAL Apple, Raspberry, Grape, & Watermelon",jolly rancher,jolly rancher,snacks,"Snacks, Sweet snacks, Confectioneries, Candies, Hard candies",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/070/2807/front_en.20.400.jpg,218.75,,0.0,0.0,0.0,0.0,93.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,375.0,156.25,71.42857142857143
10700708106,Peanut Caramel Bar,payday,payday,snacks,"Snacks, Sweet snacks, Confectioneries",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/070/8106/front_en.7.400.jpg,1000.0,,27.5,27.5,5.0,5.0,52.5,52.5,40.0,40.0,5.0,5.0,12.5,12.5,0.53125,0.53125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|energy_inconsistent_with_macros,507.5,492.5,49.25
10700807274,Peanut Caramel Bar,payday,payday,snacks,"Snacks,Sweet snacks,Confectioneries",en:spain|en:united-states,SOUTHERN_EUROPE|US_CANADA,https://images.openfoodfacts.org/images/products/001/070/080/7274/front_en.33.400.jpg,241.935483870968,,25.0,25.0,4.6875,4.6875,56.25,56.25,40.625,40.625,3.125,3.125,12.5,12.5,0.595296875,0.595296875,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,500.0,258.064516129032,106.66666666666644
10700859280,Jolly Rancher Hard Candy Zero Sugar Tropical,jolly rancher,jolly rancher,snacks,en:hard-candy,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/085/9280/front_en.3.400.jpg,218.75,,0.0,0.0,0.0,0.0,93.75,,93.75,93.75,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,375.0,156.25,71.42857142857143
11110028174,Plain Nonfat Yogurt,kroger,kroger,dairies,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/002/8174/front_en.17.400.jpg,17.636684303351,,0.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,17.0,,0.152941176470588,0.152941176470588,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,96.0,78.363315696649,444.319999999999
11110093318,Oatmilk Non-Dairy Creamer Sweet Creme,simple truth,simple truth,dairies,en:cream,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/009/3318/front_en.29.400.jpg,233.333333333333,,0.352739907229404,0.352739907229404,0.0,0.0,2.11643944337643,2.11643944337643,1.41095962891762,1.41095962891762,0.0,0.0,0.0,0.0,0.0088184976807351,0.0088184976807351,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,11.640416938570356,221.69291639476265,95.01124988346984
11110097002,Gourmet Cracker Cuts Sliced Cheese Variety Pack,private selection,private selection,dairies,en:cheeses,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/009/7002/front_en.3.400.jpg,178.571428571429,,28.571428571429,,17.857142857143,17.857142857143,0.0,0.0,0.0,0.0,,,25.0,25.0,1.6071428571429,1.6071428571429,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,357.142857142861,178.57142857143197,100.00000000000166
11110153616,protein greek yogurt coating granola bars strawberry,simple truth,simple truth,snacks,Cereal bar with fruits fortified with vitamins and minerals,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/015/3616/front_en.17.400.jpg,378.378378378378,,4.0,4.0,1.5,1.5,19.0,19.0,7.0,7.0,7.0,7.0,10.0,10.0,0.3125,0.3125,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,152.0,226.378378378378,59.82857142857139
11110157157,protein CRISP CRACKERS Loaded Taco,simple truth,simple truth,snacks,en:appetizers,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/015/7157/front_en.15.400.jpg,400.0,,6.0,6.0,0.5,0.5,10.0,10.0,1.0,1.0,6.0,6.0,10.0,10.0,1.025,1.025,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,134.0,266.0,66.5
11110357960,Low Sodium Rice Cakes,kroger,kroger,snacks,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/035/7960/front_en.22.400.jpg,250.0,,0.0,0.0,0.0,0.0,80.0,,0.0,0.0,0.0,0.0,10.0,10.0,3.75,3.75,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,360.0,110.0,44.0
12000221545,Lemon Lime Flavored Soda,starry,starry,beverages,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:cola-with-sugar-and-artificial-sweetener",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/200/022/1545/front_en.47.400.jpg,16.9070282516442,,0.0,0.0,0.0,0.0,39.0,,39.0,39.0,0.0,0.0,0.0,0.0,0.0098624331467924,0.0098624331467924,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,156.0,139.0929717483558,822.6932000000005
12000250576,Prebiotic Cola Cherry Vanilla,pepsi,pepsi,beverages,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:cola-with-sugar-and-artificial-sweetener",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/200/025/0576/front_en.52.400.jpg,100.0,,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,3.0,3.0,0.0,0.0,87.5,87.5,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,24.0,76.0,76.0
122580,Peanut Butter,bega,bega,snacks,"Snacks,Sweet snacks,Sweet pastries and pies,Viennoiseries,Hot cross buns",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/000/012/2580/front_en.41.400.jpg,635.537980184251,,4.6,4.6,1.9,1.9,55.0,55.0,25.1,25.1,3.2,3.2,6.7,6.7,0.35,0.35,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,288.2,347.33798018425097,54.65259213675209
130509,Wheat Biscuits,sainsbury's,sainsbury's,snacks,"Plant-based foods and beverages, Plant-based foods, Snacks, Breakfasts, Cereals and potatoes, Sweet snacks, Cereals and their products, Biscuits and cakes, Breakfast cereals, Biscuits",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/000/013/0509/front_en.13.400.jpg,133.0,,2.0,2.0,0.6,0.6,68.1,,4.4,4.4,10.0,10.0,12.0,12.0,0.28,0.28,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,338.4,205.39999999999998,154.43609022556387
14100074816,Milano Raspberry Chocolate,pepperidge farm,pepperidge farm,snacks,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",en:mexico|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/410/007/4816/front_en.49.400.jpg,1625.0,,28.0,28.0,16.0,16.0,60.0,60.0,36.0,36.0,4.0,4.0,4.0,4.0,0.35,0.35,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|energy_inconsistent_with_macros,508.0,1117.0,68.73846153846154
14100085539,Goldfish Baked Snack Crackers Xtra Cheesy Pizza,pepperidge farm,pepperidge farm,snacks,"snacks, salty-snacks, sweet-snacks, appetizers, biscuits-and-cakes, biscuits, da:crackers",en:mexico|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/410/008/5539/front_en.19.400.jpg,466.666666666667,,5.0,5.0,1.0,1.0,21.0,21.0,,,1.0,1.0,3.0,3.0,0.65,0.65,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,141.0,325.666666666667,69.7857142857143
14200003297,Charms Fluffy Stuff Spider Web Cotton Candy Sour Apple,,unknown,snacks,"Snacks, Snacks sucrés, Confiseries, Barbes à papa",en:france,FRANCE,https://images.openfoodfacts.org/images/products/001/420/000/3297/front_fr.4.400.jpg,383.0,,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,,,0.0,0.0,,,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,88.0,295.0,77.02349869451697
14600406698,LA MORDUE ORIGINAL,la mordue hard cider,la mordue hard cider,beverages,en:flavoured-ciders,en:france,FRANCE,https://images.openfoodfacts.org/images/products/001/460/040/6698/front_fr.4.400.jpg,229.0,,0.1,0.1,0.0,0.0,4.7,4.7,4.7,4.7,0.0,0.0,0.1,0.1,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,20.099999999999998,208.9,91.22270742358079
15000045203,puffs strawberry apple,gerber,gerber,cereals,en:breakfast-cereals,en:united-states|en:vietnam|en:world,US_CANADA,https://images.openfoodfacts.org/images/products/001/500/004/5203/front_en.62.400.jpg,357.142857142857,,0.0,0.0,0.0,0.0,1224.48979591837,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g|energy_inconsistent_with_macros,4897.95918367348,4540.816326530623,1271.428571428575
15000045357,Oatmeal & Barley Apple Cinnamon imp,gerber,gerber,cereals,en:cereal,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/500/004/5357/front_en.3.400.jpg,1.0,,1.0,,0.0,0.0,28.0,,11.0,11.0,1.0,1.0,2.0,,0.3375,0.3375,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,129.0,128.0,12800.0
15400047258,Rainbo Mallows,western family,western family,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",en:france|en:french-polynesia,FRANCE,https://images.openfoodfacts.org/images/products/001/540/004/7258/front_en.4.400.jpg,120.0,,15.0,15.0,12.0,12.0,45.0,,18.0,18.0,,,4.0,4.0,2.0,2.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,331.0,211.0,175.83333333333334
15586945034,Bonbons,,unknown,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons",en:france,FRANCE,https://images.openfoodfacts.org/images/products/001/558/694/5034/front_fr.4.400.jpg,248.0,,1.43,1.43,1.14,1.14,98.0,,0.0,0.0,,,0.0,0.0,,,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,404.87,156.87,63.25403225806452
15700177013,Egg nog,meadow gold,meadow gold,dairies,en:milks,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/570/017/7013/front_en.3.400.jpg,170.0,,0.0,0.0,5.0,,19.0,19.0,15.0,15.0,0.0,0.0,0.0,0.0,0.2625,0.2625,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat|energy_inconsistent_with_macros,76.0,94.0,55.294117647058826
16000107472,Honey Nut Cheerios,cheerios,cheerios,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/010/7472/front_en.10.400.jpg,172.419375,,3.8055,3.8055,0.0218925,0.0218925,71.516,,32.358,32.358,5.608,5.608,8.87366875,8.87366875,1.473984875,1.473984875,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,355.808175,183.3888,106.3620605282904
16000115903,Chewy Granola Chocolate Chunk,nature valley,nature valley,snacks,"Snacks, Sweet snacks, Bars, Cereal bars, en:chocolate-candies",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/011/5903/front_en.30.400.jpg,680.0,,8.0,8.0,2.0,2.0,72.0,72.0,24.0,24.0,4.0,4.0,8.0,8.0,0.6,0.6,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,392.0,288.0,42.35294117647059
16000125544,Frosted cheerios gluten free breakfast cereal,general mills,general mills,cereals,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/012/5544/front_en.8.400.jpg,171.734664351852,,4.38787037037037,4.38787037037037,0.147694444444444,0.147694444444444,67.1404513888889,,27.4044791666667,27.4044791666667,7.55462962962963,7.55462962962963,10.6982175925926,10.6982175925926,1.47905179398149,1.47905179398149,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,350.84550925925936,179.11084490740737,104.29510290388606
16000137639,Nature Valley Peanut Butter Chocolate Granola Bites,nature valley,nature valley,cereals,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products",en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/001/600/013/7639/front_fr.3.400.jpg,160.0,,30.0,,15.0,15.0,53.33,,30.0,30.0,6.7,6.7,10.0,10.0,0.9175,0.9175,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,523.3199999999999,363.31999999999994,227.07499999999996
16000157620,Original,fiber one,fiber one,cereals,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/015/7620/front_en.38.400.jpg,204.545454545455,,2.5,2.5,0.0,0.0,82.5,,2.5,2.5,45.0,45.0,7.5,7.5,0.875,0.875,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,382.5,177.954545454545,86.9999999999996
16000163492,very berry cheerios,general mills,general mills,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/016/3492/front_en.8.400.jpg,163.6,,4.39126637178309,4.39126637178309,0.0863873291015625,0.0863873291015625,67.9517701272404,,33.5168679630055,33.5168679630055,5.55338429170496,5.55338429170496,8.77018493652344,8.77018493652344,2.97365007431928,2.97365007431928,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,346.40921760110314,182.80921760110314,111.74157555079655
16000171091,Golden Grahams Cereal,golden grahams,golden grahams,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals, en:cereals-with-caramel",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/017/1091/front_en.29.400.jpg,937.5,,5.0,5.0,0.0,0.0,85.0,85.0,30.0,30.0,5.0,5.0,5.0,5.0,1.8125,1.8125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|energy_inconsistent_with_macros,405.0,532.5,56.8
16000171558,Toasted Almond Granola,:ratio,:ratio,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with nuts, Crunchy cereal clusters, Cereal clusters with nuts",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/017/1558/front_en.25.400.jpg,518.518518518518,,10.0,10.0,2.0,2.0,7.0,7.0,1.0,1.0,4.0,4.0,8.0,8.0,0.3,0.3,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,150.0,368.518518518518,71.07142857142854
16000181489,Soft-Baked Bars Cinnamon Coffee Cake,fiber one,fiber one,snacks,en:cereal-bar,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/018/1489/front_en.9.400.jpg,280.0,,12.0,12.0,4.0,4.0,68.0,68.0,24.0,24.0,24.0,24.0,8.0,8.0,0.9,0.9,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,412.0,132.0,47.14285714285714
16000186217,Coconut Almond Granola,:ratio,:ratio,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/018/6217/front_en.24.400.jpg,1875.0,,37.037037037037,37.037037037037,11.1111111111111,11.1111111111111,25.9259259259259,25.9259259259259,3.7037037037037,3.7037037037037,14.8148148148148,14.8148148148148,29.6296296296296,29.6296296296296,1.15740740740741,1.15740740740741,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|energy_inconsistent_with_macros,555.555555555555,1319.444444444445,70.37037037037041
