barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason
3564700202258,Maasdam,les croisés,les croises,dairies,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte pressée non cuite, Fromages des Pays-Bas, Fromages pasteurisés, Maasdam",en:france,FRANCE,https://images.openfoodfacts.org/images/products/356/470/020/2258/front_fr.41.400.jpg,1388.0,,27.0,27.0,19.0,19.0,0.1,0.1,0.1,0.1,0.0,0.0,25.0,25.0,1.1,1.1,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3564700683224,Spécial croque emmental,les croisés,les croises,dairies,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages en tranches,Fromages fondus,Fromages fondus à l'emmental",en:france,FRANCE,https://images.openfoodfacts.org/images/products/356/470/068/3224/front_fr.38.400.jpg,2290.0,,17.0,17.0,12.0,12.0,7.5,7.5,6.0,6.0,0.0,0.0,13.0,13.0,2.3,2.3,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3664346335102,Poulain grand arôme,poulain,poulain,beverages,"Beverages, Cocoa and its products, Cocoa and chocolate powders, Instant beverages, Chocolate-powders, en:instant-chocolate-powders",en:france,FRANCE,https://images.openfoodfacts.org/images/products/366/434/633/5102/front_fr.25.400.jpg,1000.0,,24.6666666666667,24.6666666666667,14.6666666666667,14.6666666666667,140.0,,133.333333333333,,10.6666666666667,10.6666666666667,52.0,52.0,1.46666666666667,1.46666666666667,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3700278406135,Benco frappé,benco,benco,dairies,"Beverages, Dairies, Dairy drinks, Flavoured milks, Milkshakes, fr:Poudre chocolatée",en:france,FRANCE,https://images.openfoodfacts.org/images/products/370/027/840/6135/front_en.3.400.jpg,1290.0,,34.0,34.0,21.0,21.0,180.0,,180.0,,8.0,8.0,70.0,70.0,3.4,3.4,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3700278406166,Benco frappé saveur choco-banane,benco,benco,beverages,"Boissons, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Chocolats en poudre",en:france,FRANCE,https://images.openfoodfacts.org/images/products/370/027/840/6166/front_fr.3.400.jpg,1290.0,,34.0,34.0,21.0,21.0,180.0,,180.0,,8.0,8.0,70.0,70.0,3.4,3.4,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3700689904923,Gigondas,,unknown,beverages,"Boissons, Boissons alcoolisées, Vins, Vins français, Gigondas",en:france,FRANCE,https://images.openfoodfacts.org/images/products/370/068/990/4923/front_fr.12.400.jpg,1258.0,,0.9,0.9,0.0001,0.0001,0.1,0.1,0.1,0.1,,,7.0,7.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3700961304007,Sucre d'orge,le comptoir de mathilde,le comptoir de mathilde,snacks,Sucres d'orge,en:france,FRANCE,https://images.openfoodfacts.org/images/products/370/096/130/4007/front_fr.14.400.jpg,1500.0,,0.0,0.0,0.0,0.0,95.0,95.0,95.0,95.0,,,0.1,0.1,,,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3701138143597,Mousse au chocolat beurre salé,,unknown,dairies,"Desserts, Desserts au chocolat, Mousses au chocolat",en:france,FRANCE,https://images.openfoodfacts.org/images/products/370/113/814/3597/front_fr.4.400.jpg,1070.0,,18.0,18.0,7.0,7.0,23.0,23.0,21.0,21.0,,,7.0,7.0,0.12,0.12,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3701456317106,Raclette légère aux légumes,seazon,seazon,dairies,"Dairies, Fermented foods, Fermented milk products, Cheeses, Raclette",en:france,FRANCE,,975.0,,7.25000010596381,7.25000010596381,4.25000005298191,4.25000005298191,2.58333338631524,2.58333338631524,2.08333333333333,2.08333333333333,1.47222227520413,1.47222227520413,4.63888910081651,4.63888910081651,,,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3760059190059,Fromage Mini Vacher Vendéen,,unknown,dairies,en:cheeses,en:france,FRANCE,https://images.openfoodfacts.org/images/products/376/005/919/0059/front_fr.4.400.jpg,1380.0,,24.6,24.6,14.2,14.2,2.2,2.2,0.02,0.02,,,25.3,25.3,1.35,1.35,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
