review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
21,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001620,Tönissteiner citron,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1620/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False
22,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001637,Tonissteiner zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1637/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False
23,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968053117,Zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/805/3117/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,0.0,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False
24,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000120977,Fanta Zero,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/012/0977/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.8,3.2,0.32,0.32,0.0,1.7,0.0,1.7,0.0,,0.0,0.0,17.0,0.0,True,False,False
25,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3092719701443,Sirop de pamplemousse rose zero sucres,teisseire,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/309/271/970/1443/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,,0.01,0.0,16.666666666666664,0.0,True,False,False
26,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,31200457011,Cranberry 0% sucres ajoutés,ocean spray,Ocean Spray,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/003/120/045/7011/front_fr.56.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.0,4.0,0.4,0.4,0.0,1.5,0.0,1.5,0.0,0.0,0.04,0.0,15.0,0.0,True,False,False
27,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000235367,Fanta zero orange,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/023/5367/front_fr.37.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,1.6,1.4,0.4666666666666666,0.4666666666666666,0.0,0.4,0.0,0.4,0.0,,0.01,0.0,13.333333333333334,0.0,True,False,False
28,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480002686,Schweppes Zero Agrum',schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/000/2686/front_en.155.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False
29,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480196248,"SCHWEPPES AGRUMES ZERO 1,5L",s.a schweppes international,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/019/6248/front_fr.32.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False
30,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3595801321081,Schweppes Agrum' Zero,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/359/580/132/1081/front_fr.10.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False
