barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
9800300327,Sugar free gum,tic tac,Ferrero,FRANCE|US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/980/030/0327/front_fr.3.400.jpg,333.0,0.0,66.67,0.0,0.0,,,0.0,266.68,66.32,0.19915915915915913,0.0,20.02102102102102,0.0,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
9800512041,Kinder Chocolate,kinder,Ferrero,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/980/051/2041/front_en.11.400.jpg,560.0,2.0,13.0,9.0,13.0,6.0,0.0,0.075,141.0,419.0,0.7482142857142857,0.35714285714285715,2.3214285714285716,1.607142857142857,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
9800820016,Nutella B-ready,nutella,Ferrero,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/980/082/0016/front_en.36.400.jpg,379.310344827586,5.0,70.0,17.5,40.0,11.25,2.5,0.3125,457.5,-78.189655172414,-0.2061363636363643,1.3181818181818188,18.454545454545464,4.613636363636366,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
9800820061,Crispy wafer filled with Nutella hazelnut spread with cocoa,nutella,Ferrero,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/980/082/0061/front_fr.3.400.jpg,500.0,2.0,15.0,6.0,10.0,2.0,1.0,0.125,122.0,378.0,0.756,0.4,3.0,1.2,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
103106,Prenium CTC leaf black tea,madupatty,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/010/3106/front_en.6.400.jpg,120.0,19.0,4.0,0.007,0.0,0.002,0.0,0.0075,92.063,27.936999999999998,0.2328083333333333,15.833333333333332,3.3333333333333335,0.005833333333333334,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,beverage_preparations_and_alcohol,True,False,False
10532818134,Candy canc holiday cocoa,unknown,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/001/053/281/8134/front_fr.4.400.jpg,140.0,0.0,26.0,0.0,26.0,0.0,,1.0,104.0,36.0,0.2571428571428571,0.0,18.571428571428573,0.0,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
10700807274,Peanut Caramel Bar,payday,,SOUTHERN_EUROPE|US_CANADA,snacks,https://images.openfoodfacts.org/images/products/001/070/080/7274/front_en.33.400.jpg,241.935483870968,12.5,56.25,25.0,40.625,4.6875,3.125,0.595296875,500.0,-258.064516129032,-1.0666666666666644,5.166666666666661,23.249999999999975,10.333333333333321,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
11110032492,Bite size shredded whole wheat cereal,the kroger co.,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/001/111/003/2492/front_en.10.400.jpg,333.33333333333,11.666666666667,80.0,2.5,0.0,0.0,13.333333333333,0.041666666666667,389.166666666668,-55.833333333337976,-0.16750000000001558,3.500000000000135,24.000000000000238,0.7500000000000074,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
11110032515,"Bran flakes wheat cereal, bran flakes",kroger,Kroger,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/001/111/003/2515/front_en.7.400.jpg,305.555555555556,11.1111111111111,80.5555555555556,2.77777777777778,19.4444444444444,,19.4444444444444,1.31944444444444,391.6666666666668,-86.1111111111108,-0.2818181818181804,3.6363636363636274,26.36363636363634,0.9090909090909085,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
11110092670,Simple Truth Organic Bran Flakes Cereal,simple truth,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/001/111/009/2670/front_en.3.400.jpg,325.0,12.5,80.0,2.5,7.5,,17.5,0.78125,392.5,-67.5,-0.2076923076923077,3.8461538461538463,24.615384615384617,0.7692307692307693,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
