region,category,metric,tail_band,tail_direction,barcode,product_name,brand,company,off_categories,image_url,metric_value,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,suggested_pattern_label
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5449000228642,Fusion : citron menthe,chaudfontaine,,Beverages,https://images.openfoodfacts.org/images/products/544/900/022/8642/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5449000228321,Sans sucre,sprite,Coca-Cola,Beverages,https://images.openfoodfacts.org/images/products/544/900/022/8321/front_en.47.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,8003753919775,Iperespresso,illy,,"Cibi e bevande a base vegetale, Bevande, Cibi a base vegetale, Bevande calde, Caffè, Caffè Arabica, Capsule, Capsule di caffè",https://images.openfoodfacts.org/images/products/800/375/391/9775/front_it.21.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5410013136149,Reine,spa,,"Dranken en drankbereidingen,Dranken,Waters,Bronwaters,Mineraalwaters",https://images.openfoodfacts.org/images/products/541/001/313/6149/front_nl.10.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5410013134565,"Spa Finesse 1,5L (marie Henriette)",spa,,Boissons,https://images.openfoodfacts.org/images/products/541/001/313/4565/front_fr.10.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5410013133001,Spa naturellement pétillante,spa,,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses",https://images.openfoodfacts.org/images/products/541/001/313/3001/front_fr.5.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5410013117001,Spa Natural Water,unknown,,en:mineral-waters,https://images.openfoodfacts.org/images/products/541/001/311/7001/front_en.21.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7613036943826,STARBUCKS by NESCAFE Dolce Gusto House Blend 12 capsules,medium house blend,,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés en dosettes, Boissons et préparations de boissons, Préparations pour boissons",https://images.openfoodfacts.org/images/products/761/303/694/3826/front_fr.111.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7613036302708,Perrier,perrier,Nestlé,"Boissons, Boissons gazeuses, Eaux, Boissons sans alcool, Eaux gazeuses",https://images.openfoodfacts.org/images/products/761/303/630/2708/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7640140337654,Nespresso Vivalto Lungo,nestle,Nestlé,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés moulus, Boissons sans sucre ajouté, Cafés en dosettes, Cafés en dosettes compatible Nespresso",https://images.openfoodfacts.org/images/products/764/014/033/7654/front_fr.11.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7640140337555,"Rosabaya De Colombia, 10 Capsules De Café Force 6, Marque Nespresso",nespresso,Nestlé,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés en dosettes, Cafés en dosettes compatible Nespresso",https://images.openfoodfacts.org/images/products/764/014/033/7555/front_fr.3.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7630039685911,Arpeggio decaffeinato,nespresso,Nestlé,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés en dosettes, Cafés en dosettes compatible Nespresso",https://images.openfoodfacts.org/images/products/763/003/968/5911/front_fr.6.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,7630030336775,Envivo lungo,nespresso,Nestlé,"Getränke und Getränkezubereitungen, Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Lebensmittel, Heißgetränke, Kaffees, Kapseln, Kaffees in Pads, Nespresso-kompatible Kapseln",https://images.openfoodfacts.org/images/products/763/003/033/6775/front_de.9.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P5-P10,bottom,5449000106704,Sprite zero sugar,sprite,Coca-Cola,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Diet sodas",https://images.openfoodfacts.org/images/products/544/900/010/6704/front_en.45.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
