barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
3068320107844,Badoit Framboise,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/7844/front_fr.11.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320107875,Badoit saveur passion,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/7875/front_fr.6.400.jpg,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320109824,Badoit menthe,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/9824/front_fr.11.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320112558,Framboise & Verveine,evian,Danone,FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/306/832/011/2558/front_fr.5.400.jpg,20.0,0.5,4.9,0.5,4.9,0.0,0.0,0.01,26.1,-6.100000000000001,-0.30500000000000005,2.5,24.500000000000004,2.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320112794,Badoit-soda Water -lime-330ml-france,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/2794/front_fr.8.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320112800,Badoit Citron Vert,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/2800/front_fr.5.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.045,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320112893,Badoit Zest citron vert,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/2893/front_fr.52.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320113463,Fruits & plantes - Eau des Alpes + Raisin + Rose,evian,Danone,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/3463/front_fr.13.400.jpg,23.0,0.5,5.8,0.5,5.8,0.0,,0.01,29.7,-6.699999999999999,-0.29130434782608694,2.1739130434782608,25.217391304347824,2.1739130434782608,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted;alcohol_formula_exception_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10;alcohol_formula_exception_energy_le100,ready_to_drink_beverages,True,True,True
3068320113593,Evian Fruits&Plantes 37cl PET Zitrone-Holunderblüte,evian,Danone,FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/306/832/011/3593/front_fr.19.400.jpg,20.0,0.5,4.6,0.5,4.6,0.0,,0.01,24.9,-4.899999999999999,-0.24499999999999994,2.5,23.0,2.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320116709,Evian kusmi tea,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/6709/front_fr.18.400.jpg,14.0,0.5,3.1,0.5,3.0,0.0,,0.0,18.9,-4.899999999999999,-0.3499999999999999,3.571428571428571,22.142857142857146,3.571428571428571,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320116747,Infused Kusmi Tea,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/6747/front_fr.12.400.jpg,14.0,0.5,3.1,0.5,3.0,0.0,,0.0,18.9,-4.899999999999999,-0.3499999999999999,3.571428571428571,22.142857142857146,3.571428571428571,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320117515,Evian kusmi tea,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/7515/front_fr.4.400.jpg,13.0,0.5,3.1,0.5,3.0,0.0,,0.0,18.9,-5.899999999999999,-0.45384615384615373,3.8461538461538463,23.846153846153847,3.8461538461538463,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320118130,Fruits & Plantes à l'eau minérale naturelle,evian,Danone,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8130/front_fr.18.400.jpg,19.0,0.5,4.7,0.5,4.7,0.0,,0.01,25.3,-6.300000000000001,-0.3315789473684211,2.631578947368421,24.73684210526316,2.631578947368421,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320118147,Evian fruits et plantes citron et fleur de sureau,evian,Danone,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8147/front_fr.12.400.jpg,20.0,0.5,4.6,0.5,4.6,0.0,,0.0,24.9,-4.899999999999999,-0.24499999999999994,2.5,23.0,2.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320118154,Evian infused kusmi tea thé blanc aromatisé pêche et violette,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8154/front_fr.10.400.jpg,14.0,0.5,3.1,0.5,3.0,0.0,,0.01,18.9,-4.899999999999999,-0.3499999999999999,3.571428571428571,22.142857142857146,3.571428571428571,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320118161,Evian Fruits et Plantes,evian,Danone,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8161/front_fr.24.400.jpg,19.0,0.5,4.7,0.5,4.7,0.0,,0.01,25.3,-6.300000000000001,-0.3315789473684211,2.631578947368421,24.73684210526316,2.631578947368421,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320118178,Infused - Kusmi tea,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8178/front_fr.10.400.jpg,13.0,0.5,3.1,0.5,3.0,0.0,,0.01,18.9,-5.899999999999999,-0.45384615384615373,3.8461538461538463,23.846153846153847,3.8461538461538463,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320118314,Evian Infused,evian,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8314/front_fr.4.400.jpg,13.0,0.5,3.1,0.5,3.0,0.0,,0.01,18.9,-5.899999999999999,-0.45384615384615373,3.8461538461538463,23.846153846153847,3.8461538461538463,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320118420,Bulles de fruits Pamplemousse Touche de citron,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8420/front_fr.65.400.jpg,21.0,0.5,4.9,0.5,4.9,0.0,0.5,0.06,26.1,-5.100000000000001,-0.24285714285714294,2.380952380952381,23.333333333333332,2.380952380952381,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320118444,Bulles de fruit citron touche de menthe,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/011/8444/front_fr.36.400.jpg,22.0,0.5,4.9,0.5,4.9,0.0,0.5,0.06,26.1,-4.100000000000001,-0.18636363636363643,2.272727272727273,22.272727272727273,2.272727272727273,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
